Role: initiator, Map: Fracture, Elo: Mid, Agent: Breach, Win%: 49.9, Pick%: 11.5, Score: 38.38
Role: initiator, Map: Haven, Elo: High, Agent: Sova, Win%: 50.7, Pick%: 12.2, Score: 39.15
Role: initiator, Map: Haven, Elo: Low, Agent: Sova, Win%: 51.4, Pick%: 5.4, Score: 37.60
Role: initiator, Map: Haven, Elo: Mid, Agent: Sova, Win%: 51.1, Pick%: 8.2, Score: 38.23
Role: initiator, Map: Icebox, Elo: High, Agent: Sova, Win%: 52.3, Pick%: 17.6, Score: 41.89
Role: initiator, Map: Icebox, Elo: Low, Agent: Sova, Win%: 50.3, Pick%: 5.8, Score: 36.95
Role: initiator, Map: Icebox, Elo: Mid, Agent: Sova, Win%: 49.4, Pick%: 12.6, Score: 38.36
Role: initiator, Map: Lotus, Elo: High, Agent: Skye, Win%: 57.2, Pick%: 2.6, Score: 40.82
Role: initiator, Map: Lotus, Elo: Low, Agent: Fade, Win%: 50.2, Pick%: 5.8, Score: 36.88
Role: initiator, Map: Lotus, Elo: Mid, Agent: Breach, Win%: 50.4, Pick%: 5.9, Score: 37.05
Role: initiator, Map: Pearl, Elo: High, Agent: Breach, Win%: 65.6, Pick%: 0.4, Score: 46.04
Role: initiator, Map: Pearl, Elo: Low, Agent: Skye, Win%: 52.4, Pick%: 3.1, Score: 37.61
Role: initiator, Map: Pearl, Elo: Mid, Agent: Fade, Win%: 50.8, Pick%: 10.5, Score: 38.71
Role: initiator, Map: Split, Elo: High, Agent: Fade, Win%: 55.0, Pick%: 2.3, Score: 39.19
Role: initiator, Map: Split, Elo: Low, Agent: Skye, Win%: 53.0, Pick%: 3.4, Score: 38.12
Role: initiator, Map: Split, Elo: Mid, Agent: Skye, Win%: 50.6, Pick%: 4.9, Score: 36.89
Role: sentinel, Map: All, Elo: High, Agent: Sage, Win%: 53.4, Pick%: 4.7, Score: 38.79
Role: sentinel, Map: All, Elo: Low, Agent: Sage, Win%: 50.6, Pick%: 14.5, Score: 39.77
Role: sentinel, Map: All, Elo: Mid, Agent: Sage, Win%: 50.3, Pick%: 10.7, Score: 38.42
Role: sentinel, Map: Ascent, Elo: High, Agent: Sage, Win%: 63.3, Pick%: 1.1, Score: 44.64
Role: sentinel, Map: Ascent, Elo: Low, Agent: Sage, Win%: 50.2, Pick%: 14.3, Score: 39.43
Role: sentinel, Map: Ascent, Elo: Mid, Agent: Sage, Win%: 51.1, Pick%: 8.9, Score: 38.44
Role: sentinel, Map: Fracture, Elo: High, Agent: Sage, Win%: 64.2, Pick%: 4.6, Score: 46.32
Role: sentinel, Map: Fracture, Elo: Low, Agent: Sage, Win%: 51.6, Pick%: 14.4, Score: 40.44
Role: sentinel, Map: Fracture, Elo: Mid, Agent: Killjoy, Win%: 52.2, Pick%: 7.0, Score: 38.64
Role: sentinel, Map: Haven, Elo: High, Agent: Sage, Win%: 61.0, Pick%: 1.3, Score: 43.09
Role: sentinel, Map: Haven, Elo: Low, Agent: Sage, Win%: 51.5, Pick%: 14.7, Score: 40.46
Role: sentinel, Map: Haven, Elo: Mid, Agent: Sage, Win%: 50.6, Pick%: 10.7, Score: 38.63
Role: sentinel, Map: Icebox, Elo: High, Agent: Killjoy, Win%: 53.0, Pick%: 10.9, Score: 40.37
Role: sentinel, Map: Icebox, Elo: Low, Agent: Sage, Win%: 50.1, Pick%: 14.9, Score: 39.54
Role: sentinel, Map: Icebox, Elo: Mid, Agent: Sage, Win%: 51.0, Pick%: 12.7, Score: 39.51
Role: sentinel, Map: Lotus, Elo: High, Agent: Sage, Win%: 67.7, Pick%: 1.4, Score: 47.81
Role: sentinel, Map: Lotus, Elo: Low, Agent: Sage, Win%: 52.0, Pick%: 14.2, Score: 40.66
Role: sentinel, Map: Lotus, Elo: Mid, Agent: Sage, Win%: 50.8, Pick%: 10.0, Score: 38.56
Role: sentinel, Map: Pearl, Elo: High, Agent: Chamber, Win%: 60.4, Pick%: 1.2, Score: 42.64
Role: sentinel, Map: Pearl, Elo: Low, Agent: Sage, Win%: 50.3, Pick%: 14.4, Score: 39.53
Role: sentinel, Map: Pearl, Elo: Mid, Agent: Sage, Win%: 50.7, Pick%: 10.4, Score: 38.61
Role: sentinel, Map: Split, Elo: High, Agent: Sage, Win%: 51.5, Pick%: 14.4, Score: 40.37
Role: sentinel, Map: Split, Elo: Low, Agent: Sage, Win%: 51.3, Pick%: 14.7, Score: 40.32
Role: sentinel, Map: Split, Elo: Mid, Agent: Sage, Win%: 51.3, Pick%: 12.9, Score: 39.78
